Episod,Season,Episod_season,Title,Day,Month,Year,Rate,link
1,1,1,Cruelty,6,4,2019,8.3,https://www.imdb.com/title/tt9828480/?ref_=ttep_ep1
2,1,2,Trainer Sakonji Urokodaki,13,4,2019,7.8,https://www.imdb.com//title/tt9913012
3,1,3,Sabito and Makomo,20,4,2019,8.1,https://www.imdb.com//title/tt9913014
4,1,4,Final Selection,27,4,2019,8.8,https://www.imdb.com//title/tt9913018
5,1,5,My Own Steel,4,5,2019,8.0,https://www.imdb.com//title/tt9913022
6,1,6,Swordsman Accompanying a Demon,11,5,2019,7.9,https://www.imdb.com//title/tt9913028
7,1,7,Muzan Kibutsuji,18,5,2019,8.6,https://www.imdb.com//title/tt9913030
8,1,8,The Smell of Enchanting Blood,25,5,2019,8.3,https://www.imdb.com//title/tt9913032
9,1,9,Temari Demon and Arrow Demon,1,6,2019,8.4,https://www.imdb.com//title/tt9913036
10,1,10,Together Forever,8,6,2019,8.4,https://www.imdb.com//title/tt9913038
11,1,11,Tsuzumi Mansion,15,6,2019,7.3,https://www.imdb.com//title/tt9913040
12,1,12,The Boar Bares Its Fangs Zenitsu Sleeps,22,6,2019,7.9,https://www.imdb.com//title/tt9913050
13,1,13,Something More Important Than Life,29,6,2019,8.2,https://www.imdb.com//title/tt10346080
14,1,14,The House with the Wisteria Family Crest,6,7,2019,7.6,https://www.imdb.com//title/tt10433090
15,1,15,Mount Natagumo,13,7,2019,7.9,https://www.imdb.com//title/tt10433092
16,1,16,Letting Someone Else Go First,20,7,2019,8.7,https://www.imdb.com//title/tt10433094
17,1,17,You Must Master a Single Thing,27,7,2019,9.0,https://www.imdb.com//title/tt10433096
18,1,18,A Forged Bond,3,8,2019,9.0,https://www.imdb.com//title/tt10433098
19,1,19,Hinokami,10,8,2019,9.7,https://www.imdb.com//title/tt10433100
20,1,20,Pretend Family,17,8,2019,8.8,https://www.imdb.com//title/tt10433102
21,1,21,Against Corps Rules,24,8,2019,8.6,https://www.imdb.com//title/tt10433104
